"train_time","test_time","auc","participant"
0.78,-0.08,0.526907051282051,7
0.78,-0.08,0.51328125,8
0.78,-0.08,0.497916666666667,9
0.78,-0.08,0.5071875,10
0.8,-0.08,0.490244391025641,1
0.8,-0.08,0.517564102564103,2
0.8,-0.08,0.53390625,3
0.8,-0.08,0.529739583333333,4
0.8,-0.08,0.51568869165023,5
0.8,-0.08,0.436546474358974,6
0.8,-0.08,0.545673076923077,7
0.8,-0.08,0.51015625,8
0.8,-0.08,0.463942307692308,9
0.8,-0.08,0.51921875,10
0.82,-0.08,0.440612980769231,1
0.82,-0.08,0.507463942307692,2
0.82,-0.08,0.534375,3
0.82,-0.08,0.540560897435898,4
0.82,-0.08,0.578714661406969,5
0.82,-0.08,0.486971153846154,6
0.82,-0.08,0.498713942307692,7
0.82,-0.08,0.48765625,8
0.82,-0.08,0.449198717948718,9
0.82,-0.08,0.57484375,10
0.84,-0.08,0.488269230769231,1
0.84,-0.08,0.524455128205128,2
0.84,-0.08,0.50515625,3
0.84,-0.08,0.504835737179487,4
0.84,-0.08,0.532359467455621,5
0.84,-0.08,0.479679487179487,6
0.84,-0.08,0.481157852564103,7
0.84,-0.08,0.55296875,8
0.84,-0.08,0.468910256410256,9
0.84,-0.08,0.53296875,10
0.86,-0.08,0.486558493589744,1
0.86,-0.08,0.523116987179487,2
0.86,-0.08,0.53078125,3
0.86,-0.08,0.493241185897436,4
0.86,-0.08,0.5609919460881,5
0.86,-0.08,0.491254006410256,6
0.86,-0.08,0.520548878205128,7
0.86,-0.08,0.57546875,8
0.86,-0.08,0.479647435897436,9
0.86,-0.08,0.46671875,10
0.88,-0.08,0.436794871794872,1
0.88,-0.08,0.518745993589744,2
0.88,-0.08,0.5053125,3
0.88,-0.08,0.499294871794872,4
0.88,-0.08,0.510597468770546,5
0.88,-0.08,0.479198717948718,6
0.88,-0.08,0.508104967948718,7
0.88,-0.08,0.5625,8
0.88,-0.08,0.496794871794872,9
0.88,-0.08,0.4878125,10
0.9,-0.08,0.48958733974359,1
0.9,-0.08,0.52364983974359,2
0.9,-0.08,0.4709375,3
0.9,-0.08,0.519891826923077,4
0.9,-0.08,0.564094345825115,5
0.9,-0.08,0.453609775641026,6
0.9,-0.08,0.464278846153846,7
0.9,-0.08,0.53640625,8
0.9,-0.08,0.471314102564103,9
0.9,-0.08,0.53140625,10
0.92,-0.08,0.525817307692308,1
0.92,-0.08,0.486590544871795,2
0.92,-0.08,0.46140625,3
0.92,-0.08,0.481694711538461,4
0.92,-0.08,0.532745726495726,5
0.92,-0.08,0.483581730769231,6
0.92,-0.08,0.499863782051282,7
0.92,-0.08,0.53859375,8
0.92,-0.08,0.501442307692308,9
0.92,-0.08,0.515625,10
0.94,-0.08,0.480588942307692,1
0.94,-0.08,0.478285256410256,2
0.94,-0.08,0.484375,3
0.94,-0.08,0.502880608974359,4
0.94,-0.08,0.516165351742275,5
0.94,-0.08,0.490260416666667,6
0.94,-0.08,0.538273237179487,7
0.94,-0.08,0.55171875,8
0.94,-0.08,0.495192307692308,9
0.94,-0.08,0.54015625,10
